epoch,train_loss,train_acc,epoch_time_sec
1,4.06283421459198,9.306875,72.26190829277039
1,3.5058536483764646,19.69,3.9089467525482178
2,3.58370894203186,19.416875,57.89999508857727
2,3.0630695121765137,31.41,3.656033992767334
3,3.2412169355392457,27.6125,57.70751762390137
3,2.6882116012573243,42.39,3.451735734939575
4,2.9856453199386594,34.44375,56.87751221656799
4,2.4803887229919432,47.74,3.5311858654022217
5,2.7972787466049196,39.47,57.01964569091797
5,2.318289469909668,52.73,3.5103142261505127
6,2.6483397829055786,43.71125,57.537508726119995
6,2.2333766635894774,54.82,3.5828120708465576
7,2.532184985733032,47.04625,58.48360848426819
7,2.1340579696655273,58.0,3.6504926681518555
8,2.432297332954407,49.975625,58.89885377883911
8,2.0842217750549317,59.89,3.567811965942383
9,2.3446354190826417,52.66875,59.16675901412964
9,2.0185971015930178,62.01,3.8694944381713867
10,2.2716555208206177,54.935625,59.993072509765625
10,1.9832848052978516,63.11,3.831939220428467
11,2.2078019580841066,56.865,57.64593720436096
11,1.9495120109558106,63.77,3.368720531463623
12,2.146370321369171,58.850625,55.96711850166321
12,1.932421997833252,64.58,3.512216806411743
13,2.096932305908203,60.43125,56.415709495544434
13,1.9156608528137207,65.29,3.537912130355835
14,2.047433096790314,62.13625,56.88635802268982
14,1.8772922752380372,66.81,3.631643533706665
15,2.0005217258453367,63.426875,56.81459283828735
15,1.8763211196899414,66.12,3.456491470336914
16,1.9636642488479614,64.696875,55.135650634765625
16,1.8557341947555541,67.27,3.395787000656128
17,1.9244246463775634,66.129375,56.01961421966553
17,1.8471848741531371,67.21,3.4519522190093994
18,1.8910119651794433,67.191875,55.02568864822388
18,1.8415067110061645,67.71,3.426131248474121
19,1.855862329673767,68.29375,57.00518298149109
19,1.8281072017669677,68.26,3.5446784496307373
20,1.8233735500335693,69.371875,55.82538151741028
20,1.8325344593048096,67.92,3.644658088684082
21,1.7937094938278197,70.45125,56.58241868019104
21,1.8183807540893555,68.36,3.6721928119659424
22,1.768903736782074,71.2725,57.88972759246826
22,1.8121956813812257,68.81,3.5594899654388428
23,1.7482822433471679,72.09375,56.38966250419617
23,1.8253173078536988,68.24,3.5338761806488037
24,1.7250272638320923,72.8425,55.838294506073
24,1.8147788627624513,68.69,3.4233593940734863
25,1.7027400853157044,73.5475,53.75950336456299
25,1.798798536491394,69.69,3.507183074951172
26,1.6775047276496888,74.488125,54.2735230922699
26,1.812622993850708,68.99,3.3948898315429688
27,1.659786612701416,75.104375,54.09471106529236
27,1.8045384002685547,68.76,3.388967275619507
28,1.6421085308074952,75.72875,55.44283843040466
28,1.803634525680542,69.37,3.525911569595337
29,1.6296129049301147,76.13125,55.00938630104065
29,1.8101541746139527,69.01,3.4821219444274902
30,1.6110335720062257,76.8525,54.59683847427368
30,1.8004513813018799,69.38,3.4865822792053223
31,1.595569387149811,77.265625,54.8031280040741
31,1.8004919723510742,69.59,3.447338342666626
32,1.580765154361725,77.851875,54.322208642959595
32,1.8005711568832397,69.56,3.3869776725769043
33,1.5674316288948058,78.401875,54.46420454978943
33,1.8041178106307982,69.68,3.5288119316101074
34,1.5535086092948913,78.81,54.805387020111084
34,1.8003069160461427,70.0,3.422342538833618
35,1.5376554510116578,79.270625,55.384066343307495
35,1.796692294692993,70.22,3.355964183807373
36,1.5277221457481385,79.73875,55.03819537162781
36,1.8010741653442384,70.03,3.3761191368103027
37,1.5175338932991027,80.029375,55.39054489135742
37,1.8025174350738526,69.46,3.50559663772583
38,1.5056054244041444,80.531875,56.25192928314209
38,1.8004799476623534,69.49,3.4239180088043213
39,1.4953496903419494,80.79625,55.67453718185425
39,1.800392237472534,69.35,3.3784070014953613
40,1.4837715662956237,81.210625,55.81538152694702
40,1.8010649797439575,69.84,3.469733953475952
41,1.4764131889343262,81.578125,56.370508909225464
41,1.7891562332153321,70.19,3.486801862716675
42,1.4630595598220826,81.93375,56.24023365974426
42,1.800633257675171,69.93,3.429762840270996
43,1.4585226521492005,82.079375,56.8730583190918
43,1.7923819885253907,69.95,3.478945732116699
44,1.4470532873153688,82.455625,57.80097150802612
44,1.7916781993865967,69.99,3.529221534729004
45,1.4422421204566955,82.675,57.34631609916687
45,1.7918519386291505,70.0,3.5115177631378174
46,1.432972508430481,82.919375,58.33225059509277
46,1.7998125049591065,69.64,3.614610195159912
47,1.4298557503700255,83.23625,58.16984510421753
47,1.7945985488891603,69.88,3.692378520965576
